City_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,simpang,75,MY,1534752000,49,4.82,100.71,93.2,5.82
314,yuzhno-kurilsk,76,RU,1534754979,86,44.03,145.86,65.83,7.85
315,balkanabat,0,TM,1534754980,29,39.51,54.36,80.41,3.27
316,husavik,0,CA,1534754472,94,50.56,-96.99,55.48,9.75
317,lashma,56,RU,1534754980,54,54.93,41.14,78.25,12.33
318,te anau,80,NZ,1534754981,97,-45.41,167.72,35.23,1.81
319,lata,88,IN,1534754527,100,30.78,78.62,64.39,1.14
320,saint-augustin,0,FR,1534752000,77,44.83,-0.61,69.8,4.7
321,bandundu,0,CD,1534754982,52,-3.32,17.38,86.26,11.43
322,esperance,20,TT,1534752000,88,10.24,-61.45,77.0,5.5
323,upernavik,92,GL,1534754147,93,72.79,-56.15,40.63,5.39
324,mitu,0,IR,1534754983,26,36.2,46.09,83.56,2.37
325,kununurra,0,AU,1534753800,9,-15.77,128.74,84.2,10.29
326,peniche,0,PT,1534752000,69,39.36,-9.38,73.4,5.82
327,kibala,20,TD,1534752000,78,9.11,18.35,80.6,6.93
328,petropavlovsk-kamchatskiy,0,RU,1534752000,82,53.05,158.65,62.6,2.24
329,vao,80,EE,1534754486,79,59.1,26.19,65.38,6.62
330,tromso,75,NO,1534753200,81,69.65,18.96,50.0,13.87
331,muros,0,ES,1534752000,72,42.77,-9.06,66.2,6.93
332,mareeba,20,AU,1534753800,64,-16.99,145.42,68.0,13.87
333,kawalu,8,ID,1534754529,39,-7.38,108.21,83.83,2.48
334,faya,0,SA,1534752000,16,18.39,42.45,86.0,13.87
335,paamiut,80,GL,1534754502,100,61.99,-49.67,41.71,4.72
336,bambanglipuro,20,ID,1534754986,50,-7.95,110.28,86.53,7.52
337,tomatlan,88,MX,1534754987,90,19.93,-105.25,73.93,3.04
338,praia,0,BR,1534752000,82,-20.25,-43.81,59.0,6.93
339,bunumbu,80,SL,1534754987,100,7.96,-11.73,71.95,4.38
340,wukari,76,NG,1534754988,95,7.87,9.78,75.73,13.0
341,saint-pierre-des-corps,20,FR,1534753800,69,47.39,0.72,73.4,6.93
342,omboue,44,GA,1534754989,100,-1.57,9.26,73.21,11.88
343,seabra,56,BR,1534754989,88,-12.42,-41.77,60.61,12.44
344,labuhan,48,ID,1534754530,63,-2.54,115.51,86.26,3.04
345,amahai,92,ID,1534754990,100,-3.31,129.0,80.23,16.13
346,coxim,0,BR,1534754990,77,-18.5,-54.75,66.01,9.75
347,sungaipenuh,64,ID,1534754990,89,-2.08,101.38,72.58,1.7
348,destin,20,US,1534751760,78,30.39,-86.5,82.4,4.7
349,kavaratti,68,IN,1534754613,94,10.57,72.64,82.93,21.27
350,seoul,75,KR,1534753800,55,37.57,126.98,91.4,16.11
351,bon accord,20,CA,1534752000,93,53.84,-113.41,41.0,2.24
352,itaguai,75,BR,1534754100,93,-22.85,-43.78,66.2,5.82
353,mitsamiouli,40,KM,1534752000,61,-11.38,43.28,82.4,11.41
354,komsomolskiy,0,RU,1534754993,76,67.55,63.78,66.91,18.25
355,shahreza,0,IR,1534754993,11,32.01,51.87,90.04,3.6
356,conceicao do mato dentro,0,BR,1534754994,83,-19.04,-43.42,47.83,2.71
357,salinopolis,0,BR,1534754994,97,-0.61,-47.36,79.96,14.0
358,mae ramat,90,TH,1534752000,88,16.98,98.52,77.0,2.59
359,guerrero negro,64,MX,1534754429,100,27.97,-114.04,70.6,6.29
360,ormond beach,20,US,1534751580,100,29.29,-81.06,75.2,6.96
361,saint-denis,90,FR,1534752000,77,48.94,2.36,69.8,5.82
362,sidney,1,US,1534752900,61,47.72,-104.16,48.2,3.36
363,sheridan,1,US,1534754160,76,39.65,-105.03,55.4,1.59
364,sept-iles,40,CA,1534752000,93,50.2,-66.38,41.0,2.24
365,hamilton,5,CA,1534752000,100,43.26,-79.87,71.6,4.7
366,yulara,0,AU,1534752000,6,-25.24,130.99,71.6,4.7
367,ferrol,0,ES,1534753800,82,43.48,-8.23,68.0,3.04
368,taywarah,0,AF,1534754998,25,33.35,64.42,80.68,5.28
369,ola,0,RU,1534752000,32,59.58,151.3,66.2,11.18
370,peringat,75,MY,1534752000,70,5.99,102.3,87.8,9.17
371,houma,0,CN,1534755000,54,35.63,111.36,87.25,0.92
372,lompoc,90,US,1534752060,87,34.64,-120.46,66.2,4.7
373,havoysund,75,NO,1534753200,100,71.0,24.66,46.4,10.29
374,nalut,64,LY,1534755001,56,31.86,10.98,82.93,4.72
375,nemuro,75,JP,1534752000,69,43.32,145.57,77.0,3.36
376,san jeronimo,56,PE,1534755002,88,-13.65,-73.37,26.5,0.92
377,guilin,20,CN,1534752000,47,25.28,110.29,96.8,2.24
378,magadan,0,RU,1534752000,32,59.56,150.8,66.2,11.18
379,lasa,40,CY,1534753800,66,34.92,32.53,86.0,8.05
380,cienfuegos,0,CU,1534751940,100,22.15,-80.44,75.2,3.36
381,katangli,24,RU,1534755004,85,51.71,143.23,57.55,2.82
382,tautira,75,PF,1534752000,83,-17.73,-149.15,77.0,10.29
